auteur_joconde,qid_wikidata,label_wikidata,naissance,deces,trouve
Bonnard Pierre (1867-1947),Q26408,Pierre Bonnard,1867.0,1947.0,True
Zadkine Ossip (1890-1967),Q160172,Ossip Zadkine,1888.0,1967.0,True
Couture Thomas (1815-1879),Q326434,Thomas Couture,1815.0,1879.0,True
CHALANDRE Fernand (graveur),Q15407076,Fernand Chalandre,1879.0,,True
David d'Angers Pierre-Jean (1788-1856);Eyck et Durand (fondeur),,,1788.0,1856.0,False
VALENCIENNES Pierre de,,,,,False
Pompon François (1855-1933),Q609754,François Pompon,1855.0,1933.0,True
RINGEL D'ILLZACH Jean-Désiré,,,,,False
Langlois Jean Charles (1789-1870),,,1789.0,1870.0,False
Rodin Auguste (1840-1917);RUDIER Alexis (fondeur),Q30755,Auguste Rodin,1840.0,1917.0,True
Genis René (1922-2004),Q3426260,René Genis,1922.0,2004.0,True
Zadkine Ossip (1890-1967);Susse Frères (-),Q160172,Ossip Zadkine,1888.0,1967.0,True
Moullin Louis (1817-1876),Q26791579,Louis Moullin,1817.0,1876.0,True
DESROCHERS Etienne Jehandier (1668-1741) : Graveur Editeur,,,1668.0,1741.0,False
Robert Hubert (1733-1808),Q548205,Hubert Robert,1733.0,1808.0,True
Piranesi Giambattista (1720-1778),,,1720.0,1778.0,False
Redon Odilon (1840-1916),Q154349,Odilon Redon,1840.0,1916.0,True
VARENNE Henri,Q21222277,Henri Varenne,1860.0,,True
BRASCASSAT Jacques-Raymond (peintre),,,,,False
Scheffer Ary (1795-1858),Q436726,Ary Scheffer,1795.0,1858.0,True
SIMART Pierre Charles,,,,,False
Ingres Jean-Auguste-Dominique (1780-1867),Q23380,Jean-Auguste-Dominique Ingres,1780.0,1867.0,True
Fontaine Edmé Adolphe (1814-1883),,,1814.0,1883.0,False
Desbois Jules (1851-1935),Q3188532,Jules Desbois,1851.0,1935.0,True
Sarrabezolles Carlo (1888-1971),Q2939255,Carlo Sarrabezolles,1888.0,1971.0,True
Baudichon René (1878-1963),Q3425813,René Baudichon,1878.0,1963.0,True
Jonas Lucien (1880-1947),Q3265566,Lucien Jonas,1880.0,1947.0,True
Gudin Théodore (1802-1880),Q555885,Théodore Gudin,1802.0,1880.0,True
DESROCHERS Etienne Jehandier (1668-1741) : ((Graveur Editeur)),,,1668.0,1741.0,False
RENOIR Pierre Auguste,,,,,False
Toulouse Roger (1918-1994),Q3439501,Roger Toulouse,1918.0,1994.0,True
Bardone Guy (1927-2015),Q21465699,Guy Bardone,1927.0,2015.0,True
Monet Claude (1840-1926),Q296,Claude Monet,1840.0,1926.0,True
Baraquin Léopold (1813-1892),,,1813.0,1892.0,False
Bernard Émile (1868-1941),Q264193,Émile Bernard,1868.0,1941.0,True
CHAPU Henri Michel Antoine (sculpteur),,,,,False
Le Brun Charles (1619-1690),Q271676,Charles Le Brun,1619.0,1690.0,True
Niclausse Paul (1879-1958),Q3371909,Paul Niclausse,1879.0,1958.0,True
Uhde Anne-Marie (1889-1988),Q2850898,Anne-Marie Uhde,1889.0,1988.0,True
Denon Dominique Vivant (1747-1825),,,1747.0,1825.0,False
Chassériau Théodore (1819-1856),Q342467,Théodore Chassériau,1819.0,1856.0,True
BOUCHER Alfred,Q1230730,Alfred Boucher,1850.0,,True
Lacaze Théophile (1799-1846),,,1799.0,1846.0,False
Léger Fernand (1881-1955),Q157183,Fernand Léger,1881.0,1955.0,True
Fragonard Jean-Honoré (1732-1806),Q127171,Jean-Honoré Fragonard,1732.0,1806.0,True
Jubault Louis Auguste (1824-?),,,,,False
Marchand André (1907-1997),Q344446,André Marchand,1907.0,1997.0,True
BLONDEL Merry Joseph,,,,,False
Rubens Petrus Paulus (1577-1640),,,1577.0,1640.0,False
BOILLY Louis Léopold,,,,,False
BUGATTI Rembrandt,Q1300641,Rembrandt Bugatti,1884.0,,True
KLEY Louis (auteur),Q21030300,Louis Kley,1833.0,,True
MILAN André,Q56640635,André Milan,1894.0,,True
Dupertuis Marcel (1941-....),Q85095436,Marcel Dupertuis,1941.0,,True
Reyre Valentine (1889-1943),Q3553652,Valentine Reyre,1889.0,1943.0,True
BINET René (auteur),Q3425860,René Binet,1913.0,,True
Daubigny Charles-François (1817-1878),Q252357,Charles-François Daubigny,1817.0,1878.0,True
DESPIAU Charles,Q82291,Charles Despiau,1874.0,,True
manufacture de L'Isle-Adam (manufacture),,,,,False
