artiste,mouvement
Chaïm Soutine,expressionnisme
Édouard Manet,impressionnisme
Q241098,cubisme
Q241098,fauvisme
Luca Giordano,baroque
Henri Delavallée,École de Pont-Aven
Pablo Picasso,cubisme
Pablo Picasso,surréalisme
Pablo Picasso,postimpressionnisme
Luc-Olivier Merson,académisme
Giorgio De Chirico,peinture métaphysique
Adrien Dauzats,orientalisme
Henri Duhem,postimpressionnisme
Joseph Chinard,néo-classicisme
Maurice Brianchon,Peintres de la réalité poétique
Canaletto,rococo
Charles Cottet,symbolisme
Charles Cottet,postimpressionnisme
Jules Migonney,peinture orientaliste
Auguste Rodin,art moderne
Auguste Rodin,symbolisme
André Mare,cubisme
Gaston Bussière,symbolisme
Alexandre-Gabriel Decamps,orientalisme
Alexandre-Gabriel Decamps,romantisme
Jean Messagier,art informel
Jean Messagier,abstraction lyrique
Jean Messagier,nuagisme
Jean Messagier,cubisme
Jean Messagier,tachisme
Alexandre Cabanel,académisme
Georges Autard,art contemporain
Jules Bastien-Lepage,pomme de terre
Jean Fautrier,art informel
Alberto Magnelli,Movimento Arte Concreta
Alberto Magnelli,art concret
Jean-Pierre Rivalz,baroque
Henri Goetz,surréalisme
Camille Corot,réalisme
Camille Corot,École de Barbizon
Albert André,postimpressionnisme
Georges Braque,cubisme
Georges Braque,fauvisme
Prosper Marilhat,orientalisme
Prosper Marilhat,naturalisme
Armand Guillaumin,impressionnisme
Karel Dujardin,âge d'or de la peinture néerlandaise
Romain Cazes,académisme
Louis Valtat,postimpressionnisme
Louis Valtat,fauvisme
Henri-Edmond Cross,néo-impressionnisme
Henri-Edmond Cross,pointillisme
Olivier Debré,abstraction lyrique
Adolphe Appian,École de Barbizon
Georges Migot,musique classique
Stefano Della Bella,baroque
Ernest Laurent,impressionnisme
Ernest Laurent,pointillisme
Ernest Laurent,postimpressionnisme
Guido Reni,baroque
Francesco Guardi,rococo
François Morellet,art conceptuel
François Morellet,Nouvelle Tendance
François Morellet,art abstrait
Achille Granchi-Taylor,École de Concarneau
Henri Regnault,orientalisme
Jean-François Raffaëlli,naturalisme
Jean-François Raffaëlli,impressionnisme
Henri de Toulouse-Lautrec,postimpressionnisme
François Boucher,rococo
Árpád Szenes,École de Paris
Auguste Renoir,impressionnisme
Jean Lasne,Forces nouvelles
Auguste Rodin,art moderne
Auguste Rodin,symbolisme
Louis Valtat,postimpressionnisme
Louis Valtat,fauvisme
Édouard Debat-Ponsan,académisme
Stefano Della Bella,baroque
Claude Gellée,classicisme
Pierre Parrocel,baroque
Albert Gleizes,Groupe de Puteaux
Albert Gleizes,cubisme de salon
Jean-Antoine Injalbert,néobaroque
Henri Duhem,postimpressionnisme
Henri-Gabriel Ibels,Les Nabis
Hans Hartung,expressionnisme abstrait
Camille Claudel,expressionnisme
Camille Claudel,Art nouveau
Camille Claudel,réalisme
Gaston Chaissac,art brut
Camille Claus,expressionnisme
Henri Gaudier-Brzeska,vorticisme
Alphonse Legros,réalisme
Juliette Roche,cubisme
Antoine Chintreuil,réalisme
Laurent de La Hyre,classicisme
Henry Scheffer,romantisme
André Masson,surréalisme
Auguste Herbin,cubisme
Auguste Herbin,abstraction
Auguste Herbin,fauvisme
Gabriel Ferrier,orientalisme
Fernand Lematte,orientalisme
Charles Le Brun,baroque
Charles Le Brun,classicisme
François Bonvin,réalisme
Pieter Boel,baroque
Pieter Boel,peinture baroque flamande
Isidore Pils,orientalisme
Francis Tattegrain,naturalisme
Alberto Magnelli,Movimento Arte Concreta
Alberto Magnelli,art concret
Auguste Rodin,art moderne
Auguste Rodin,symbolisme
Bernard Lange,néo-classicisme
Hippolyte Petitjean,pointillisme
Victor Mottez,néo-classicisme
Léon Riesener,romantisme
Jacques Monory,figuration narrative
Joseph Chinard,néo-classicisme
Maurice Le Liepvre,impressionnisme
Albert Besnard,symbolisme
Eugène Fromentin,orientalisme
Georges Seurat,néo-impressionnisme
Georges Seurat,pointillisme
Georges Seurat,postimpressionnisme
Alexandre Roslin,rococo
Fernand Cormon,académisme
Jacques Villeglé,Nouveau réalisme
Alfred Smith,fauvisme
Alfred Smith,postimpressionnisme
Alfred Smith,École de Crozant
Marie Laurencin,cubisme
Marie Laurencin,fauvisme
Mary Cassatt,impressionnisme
Albert Marquet,fauvisme
François Girardon,baroque
François Girardon,classicisme
Eugène Devéria,romantisme
Antoni Tàpies,art informel
Henri Manguin,postimpressionnisme
Paul Baudry,académisme
Q469063,expressionnisme
Christine Boumeester,art abstrait
Fernand Pelez,académisme
Fernand Pelez,naturalisme
Léon Cogniet,romantisme
François Lemoyne,rococo
Gustave Caillebotte,impressionnisme
Jan van Goyen,âge d'or de la peinture néerlandaise
Rembrandt,âge d'or de la peinture néerlandaise
Roland Oudot,Peintres de la réalité poétique
Roland Oudot,École de Paris
Jean Pillement,rococo
Annibale Carracci,baroque
Roger de La Fresnaye,cubisme
Georges Clairin,orientalisme
Georges Clairin,symbolisme
Antoine Chintreuil,réalisme
Raoul Larche,Art nouveau
Eugène Viala,symbolisme
Eugène Viala,romantisme
Q123740,impressionnisme
Q123740,postimpressionnisme
Q123740,Les Nabis
Q123740,Art nouveau
Q123740,symbolisme
Léon-François Comerre,orientalisme
Léon-François Comerre,académisme
Henry Moret,École de Pont-Aven
Henry Moret,impressionnisme
Eugène Faure,académisme
François Lafon,académisme
Honoré Daumier,réalisme
Nicolas Bertin,rococo
Alphonse Legros,réalisme
Claude Vignon,baroque
Gaspard de Crayer,baroque
Frans Snyders,peinture baroque flamande
Pieter Boel,baroque
Pieter Boel,peinture baroque flamande
Jules Breton,réalisme
