artiste,mouvement
Otto Dix,Nouvelle Objectivité
Osias Beert,peinture baroque flamande
Henri Girardot,impressionnisme
Armand Berton,académisme
Fernand Legout-Gérard,École de Concarneau
Alessandro Magnasco,baroque
Adrien Dauzats,orientalisme
Charles Cottet,symbolisme
Charles Cottet,postimpressionnisme
Vicente Santaolaria,art figuratif
Vicente Santaolaria,réalisme
Paul Sérusier,symbolisme
Paul Sérusier,synthétisme
Paul Sérusier,cloisonnisme
Paul Sérusier,École de Pont-Aven
Paul Sérusier,Les Nabis
Melchior Doze,Félibrige
Henri Laurens,art abstrait
Mildred Bendall,École de Paris
Marcel Baschet,académisme
Pierre Wemaëre,abstraction lyrique
Armand Guillaumin,impressionnisme
Georges-Antoine Rochegrosse,orientalisme
Georges-Antoine Rochegrosse,symbolisme
Abel Bertram,fauvisme
Henry de Waroquier,École de Paris
Valentine Prax,expressionnisme
Gabriel Robin,École de Paris
Stefano Della Bella,baroque
Antoine Caron,École de Fontainebleau
Nicolas Colombel,classicisme
Eustache Le Sueur,baroque
Simon Vouet,peinture baroque
Cornelis Bega,baroque
Frédéric Bazille,impressionnisme
Frédéric Bazille,École de Barbizon
Frédéric Bazille,réalisme
Henri Rouart,impressionnisme
Pieter Claesz,âge d'or de la peinture néerlandaise
Eva Gonzalès,impressionnisme
Jean-Jacques Henner,symbolisme
Pierre Mignard,classicisme
Pierre Mignard,peinture baroque
Adam Pynacker,baroque
Jan Victors,réalisme
Herman Van Swanevelt,baroque
John Constable,réalisme
John Constable,romantisme
Charles Gleyre,peinture orientaliste
Auguste Pichon,néo-classicisme
Charles Le Brun,baroque
Charles Le Brun,classicisme
Luca Giordano,baroque
Annibale Carracci,baroque
Moïse Kisling,École de Paris
Giorgio Vasari,Renaissance
Jan Cossiers,peinture baroque flamande
Dirk Bouts,Primitifs flamands
Frans Snyders,peinture baroque flamande
Rachel Ruysch,rococo
Henri Lebasque,postimpressionnisme
Charles Angrand,symbolisme
Charles Angrand,pointillisme
Charles Angrand,Arts incohérents
Charles Angrand,néoréalisme
Henri Leys,néo-Renaissance flamande
Henry Moret,École de Pont-Aven
Henry Moret,impressionnisme
Théo Van Rysselberghe,néo-impressionnisme
Lambert Sustris,maniérisme
Marcel Gromaire,expressionnisme
Marcel Gromaire,École de Pont-Aven
Georges Washington,orientalisme
Georges-Antoine Rochegrosse,orientalisme
Georges-Antoine Rochegrosse,symbolisme
Mildred Bendall,École de Paris
Giacinto Brandi,baroque
Roger Chapelain-Midy,symbolisme
Adriaen Brouwer,baroque
Pierre Alechinsky,expressionnisme abstrait
Pierre Alechinsky,expressionnisme
Pierre Alechinsky,CoBrA
Pierre Alechinsky,tachisme
Pierre Alechinsky,abstraction lyrique
Paolo Farinati,École véronaise
Albert Gleizes,Groupe de Puteaux
Albert Gleizes,cubisme de salon
Victor Vasarely,pop art
Victor Vasarely,op art
Simon Vouet,peinture baroque
Gérard de Lairesse,baroque
Giuseppe Arcimboldo,maniérisme
Jean-Jacques Henner,symbolisme
Filippino Lippi,Renaissance italienne
Lorenzo Lotto,maniérisme
Lorenzo Lotto,Haute Renaissance
Odilon Redon,symbolisme
Karel Dujardin,âge d'or de la peinture néerlandaise
Karel Appel,expressionnisme abstrait
Karel Appel,CoBrA
Lucien Lévy-Dhurmer,symbolisme
Constantin Meunier,réalisme
Fernand Pelez,académisme
Fernand Pelez,naturalisme
Adriaen Brouwer,baroque
Alessandro Allori,maniérisme
Charles Perron,anarchisme
Maurice Brianchon,Peintres de la réalité poétique
Michel Carrade,abstraction lyrique
Honoré Daumier,réalisme
Camille Claudel,expressionnisme
Camille Claudel,Art nouveau
Camille Claudel,réalisme
Auguste Rodin,art moderne
Auguste Rodin,symbolisme
Aristide Maillol,symbolisme
Aristide Maillol,Les Nabis
Félicie de Fauveau,style troubadour
Gustave Moreau,symbolisme
Jean-Louis Hamon,néo-grec
Alfred Dehodencq,orientalisme
Adrien Dauzats,orientalisme
Jean-Baptiste Greuze,rococo
Antonio Canova,néo-classicisme
Xavier Krebs,abstraction lyrique
François Lafon,académisme
Justus Sustermans,Haute Renaissance
Karl Daubigny,École de Barbizon
Pierre-Narcisse Guérin,néo-classicisme
Thomas Couture,académisme
Gérard Dou,âge d'or de la peinture néerlandaise
Gérard Dou,Fijnschilders
Alessandro Allori,maniérisme
André Beaudin,École de Paris
Rémi Blanchard,Figuration libre
Cornelis Huysmans,baroque
Per Kirkeby,néo-expressionnisme
Albert Marquet,fauvisme
Prosper Marilhat,orientalisme
Prosper Marilhat,naturalisme
Jean Amado,art abstrait
George Romney,rococo
Marcel Barbeau,Automatistes
Frédéric Fiebig,Die Brücke
Jörg Immendorff,néo-expressionnisme
Pol Bury,surréalisme
Séraphine de Senlis,art naïf
Camille Flers,réalisme
Camille Flers,École de Barbizon
Kiki Smith,art contemporain
Edmond Boissonnet,cubisme
Simon Vouet,peinture baroque
Jacob Jordaens,peinture baroque flamande
Jacob Jordaens,baroque
Salvator Rosa,baroque
Jean-Baptiste Santerre,classicisme
Juana Muller,École de Paris
Auguste Morisot,Art nouveau
Juana Muller,École de Paris
Adriaen Brouwer,baroque
François Boucher,rococo
Eduardo Arroyo,pop art
Eduardo Arroyo,figuration narrative
Eugène Delacroix,romantisme
Hippolyte Flandrin,néo-classicisme
Nicolas Poussin,classicisme
César De Cock,École de Barbizon
Anna Quinquaud,Africanisme
Auguste Rodin,art moderne
Auguste Rodin,symbolisme
Jacques Stella,classicisme
Alexander Calder,art moderne
Alexander Calder,art cinétique
Lucio Fontana,Movimento Arte Concreta
Lucio Fontana,Spatialisme
Max Schoendorff,surréalisme
Xavier Sigalon,romantisme
André Brouillet,académisme
Roger de La Fresnaye,cubisme
Paolo Farinati,École véronaise
Erró,pop art
Matthäus Merian,baroque
Pierre Puget,baroque
François Boucher,rococo
Édouard Pingret,costumbrismo
Reynaud Levieux,classicisme
Antoine Raspal,réalisme
Henry Caro-Delvaille,réalisme
Fabius Brest,peinture orientaliste
Georges Manzana-Pissarro,impressionnisme
Gaston Suisse,Art déco
Francis Jourdain,fonctionnalisme
Francis Jourdain,Neues Bauen
Paul-Élie Ranson,symbolisme
Gustave Guillaumet,orientalisme
Antonio Tempesta,Renaissance
Michel Frechon,École de Rouen
Max Jacob,cubisme
Antoine Guillemet,réalisme
Jean-Baptiste Greuze,rococo
Luca Giordano,baroque
Théophile Gautier,romantisme
Théophile Gautier,Parnasse
Charles Filiger,synthétisme
Charles Filiger,symbolisme
Charles Filiger,École de Pont-Aven
Béatrice Appia,académisme
Jules Breton,réalisme
Romain Cazes,académisme
Edmond Aman-Jean,symbolisme
George Desvallières,symbolisme
Jean-Joseph Benjamin-Constant,orientalisme
Jean-Joseph Benjamin-Constant,académisme
Alexandre Séon,symbolisme
Erró,pop art
Roger Chastel,École de Paris
Henri Michel-Lévy,impressionnisme
Georges Lacombe,symbolisme
Georges Lacombe,Les Nabis
Louis Anquetin,cloisonnisme
Roger Godchaux,Art déco
Edmond Aman-Jean,symbolisme
Stefano Della Bella,baroque
Alessandro Allori,maniérisme
Claude Gellée,classicisme
Nicolas Dipre,école de peinture d'Avignon
Josse Lieferinxe,école de peinture d'Avignon
Q203758,rococo
Nicolas Poussin,classicisme
James Tissot,japonisme
James Tissot,réalisme
Abraham Brueghel,baroque
Jan Asselyn,baroque
Adriaen Hanneman,baroque
Maurice Alet,Art nouveau
Maurice Alet,Art déco
Lambert Doomer,peinture baroque flamande
Andrea Sacchi,baroque
Ary Scheffer,romantisme
Eugène Battaille,académisme
Rembrandt,âge d'or de la peinture néerlandaise
Valentin de Boulogne,caravagisme
Valentin de Boulogne,ténébrisme
Pierre-Justin Ouvrié,académisme
Hubert Robert,préromantisme
Abraham Govaerts,baroque
Anders Zorn,impressionnisme
Pedro Figari,impressionnisme américain
Oswald Achenbach,École de peinture de Düsseldorf
Charles Laval,École de Pont-Aven
Hippolyte Petitjean,pointillisme
Eugène Girardet,orientalisme
Albert Dagnaux,impressionnisme
Lorenzo Costa,Renaissance italienne
Lorenzo Costa,École de Ferrare
Serge Poliakoff,expressionnisme abstrait
Jean Despujols,Art déco
Jean Despujols,Retour à l'ordre
Auguste Bonheur,naturalisme
Frederik de Moucheron,baroque
Thomas Gainsborough,rococo
Thomas Gainsborough,Peinture anglaise
Annibale Carracci,baroque
Guido Reni,baroque
Luca Giordano,baroque
Jean-Jacques Henner,symbolisme
Carlo Dolci,baroque
Hyacinthe Rigaud,baroque
Hyacinthe Rigaud,peinture baroque
Bernardo Daddi,Première Renaissance
Andrea Pozzo,baroque
Orazio Gentileschi,maniérisme
Giuseppe Bazzani,baroque
Raphaël,Haute Renaissance
Raphaël,Renaissance italienne
Francesco Solimena,baroque
Georges Rouault,expressionnisme
Georges Rouault,symbolisme
Georges Rouault,fauvisme
Camille Flers,réalisme
Camille Flers,École de Barbizon
Francis Jourdain,fonctionnalisme
Francis Jourdain,Neues Bauen
Hans Makart,peinture orientaliste
Gustave Surand,orientalisme
Xavier Boutigny,École de Rouen
Celso Lagar,École de Paris
Charles Martin,Félibrige
Jean-Baptiste Greuze,rococo
Raphaël,Haute Renaissance
Raphaël,Renaissance italienne
Annibale Carracci,baroque
Hendrik Goltzius,maniérisme
Bartholomeus Spranger,maniérisme du Nord
Quentin Metsys,Primitifs flamands
François Duquesnoy,baroque
Aristide Maillol,symbolisme
Aristide Maillol,Les Nabis
Auguste Rodin,art moderne
Auguste Rodin,symbolisme
Auguste Rodin,art moderne
Auguste Rodin,symbolisme
Auguste Rodin,art moderne
Auguste Rodin,symbolisme
Auguste Rodin,art moderne
Auguste Rodin,symbolisme
Ossip Zadkine,cubisme
Raoul Larche,Art nouveau
Robert Le Lorrain,baroque
Auguste Rodin,art moderne
Auguste Rodin,symbolisme
Jean-Baptiste Carpeaux,romantisme
Jean-Baptiste Carpeaux,romantisme
Jacques Sarrazin,baroque
Ernest Meissonier,académisme
Gabriel Revel,classicisme
Gabriel Revel,classicisme
Jean-Antoine Injalbert,néobaroque
Le Guerchin,baroque
Cornelis de Vos,peinture baroque flamande
José de Ribera,baroque
Janice Biala,expressionnisme abstrait
Pierre Mignard,classicisme
Pierre Mignard,peinture baroque
Pierre Mignard,classicisme
Pierre Mignard,peinture baroque
Justus Sustermans,Haute Renaissance
Camille Pissarro,impressionnisme
Camille Pissarro,néo-impressionnisme
Pierre Mignard,classicisme
Pierre Mignard,peinture baroque
Maurice Asselin,École de Paris
Youla Chapoval,École de Paris
Henri Le Sidaner,symbolisme
Henri Le Sidaner,Colonie artistique d'Étaples
Luc Tuymans,art contemporain
Sigmar Polke,pop art
Marcel Barbeau,Automatistes
Charles Filiger,synthétisme
Charles Filiger,symbolisme
Charles Filiger,École de Pont-Aven
Vassily Kandinsky,Bauhaus
Vassily Kandinsky,expressionnisme
Vassily Kandinsky,symbolisme
Käthe Kollwitz,expressionnisme
Q44007,surréalisme
Q44007,expressionnisme
Q44007,pointillisme
Q44007,Bauhaus
Q44007,Colorfield Painting
Gaston de La Touche,naturalisme
Jonathan Meese,art contemporain
Guido Reni,baroque
Max Ernst,surréalisme
Max Ernst,Dada
Daniel Spoerri,Fluxus
Jean Restout,rococo
Jean-Baptiste Regnault,néo-classicisme
José de Ribera,baroque
Charles Lapicque,École de Paris
Paul Flandrin,néo-classicisme
Marie Bracquemond,impressionnisme
Lambert Jacobsz,âge d'or de la peinture néerlandaise
Elisabetta Sirani,baroque
Giuseppe Palizzi,École de Barbizon
Giuseppe Palizzi,néoromantisme
Jacopo Bassano,École vénitienne
Claudio Coello,baroque
Jan Victors,réalisme
Charles Le Brun,baroque
Charles Le Brun,classicisme
Adriaen Brouwer,baroque
Matteo di Giovanni,école siennoise
Albert Aublet,orientalisme
Jean-Léon Gérôme,orientalisme
Jean-Léon Gérôme,néo-grec
Jean-Léon Gérôme,mouvement néo-pompéien
Jean-Léon Gérôme,académisme
Michelangelo Cerquozzi,baroque
Eugène Delacroix,romantisme
Nicolas de Largillierre,baroque
Alexandre Roslin,rococo
Émile Bernard,orientalisme
Émile Bernard,symbolisme
Émile Bernard,pointillisme
Émile Bernard,École de Pont-Aven
Émile Bernard,synthétisme
Émile Bernard,cloisonnisme
Émile Bernard,Les Nabis
Suzanne Valadon,symbolisme
Suzanne Valadon,postimpressionnisme
Hervé Di Rosa,Figuration libre
Georges Mathieu,expressionnisme abstrait
Georges Mathieu,abstraction lyrique
Luca Giordano,baroque
Susana Solano,art abstrait
Eugène Carrière,symbolisme
Charles-Théodore Frère,orientalisme
Albert Aublet,orientalisme
Narcisse Berchère,orientalisme
Alphonse de Neuville,académisme
Luca Giordano,baroque
Guido Reni,baroque
Armand Guillaumin,impressionnisme
Ferdinand Roybet,orientalisme
Camille Corot,réalisme
Camille Corot,École de Barbizon
Eugène Loup,symbolisme
François Boucher,rococo
Michelangelo Cerquozzi,baroque
François Lemoyne,rococo
Gérard de Lairesse,baroque
Thomas Rowlandson,romantisme
Alessandro Magnasco,baroque
Auguste Anastasi,École de Barbizon
Alexandre Falguière,réalisme
Jean-Jacques Henner,symbolisme
Raphaël,Haute Renaissance
Raphaël,Renaissance italienne
Reynaud Levieux,classicisme
Cesare Gennari,baroque
Albert André,postimpressionnisme
Auguste Rodin,art moderne
Auguste Rodin,symbolisme
Henri-François Riesener,néo-classicisme
Hiroshi Sugimoto,art contemporain
Martial Raysse,Nouveau réalisme
Etel Adnan,mouvement hurufiyya
Eugène Delacroix,romantisme
Henri Delavallée,École de Pont-Aven
Théodore Géricault,romantisme
Cavalier d'Arpin,maniérisme
Kurt Schwitters,Dada
Emmanuel Gondouin,cubisme
Amédée de La Patellière,expressionnisme
Emmanuel de La Villéon,postimpressionnisme
Ferdinand Roybet,orientalisme
Lucas Cranach l'Ancien,Renaissance allemande
Jean-Antoine Injalbert,néobaroque
Édouard Pingret,costumbrismo
Louis Neillot,fauvisme
James Tissot,japonisme
James Tissot,réalisme
Eugène Fromentin,orientalisme
Gaston de La Touche,naturalisme
Auguste Anastasi,École de Barbizon
Constant Mayer,romantisme
Constant Mayer,néo-classicisme
Andrea Mantegna,Renaissance italienne
Eugène de Kermadec,expressionnisme abstrait
Prosper Marilhat,orientalisme
Prosper Marilhat,naturalisme
Robert Helman,École de Paris
Jean-Charles Langlois,orientalisme
Aristide Maillol,symbolisme
Aristide Maillol,Les Nabis
Paul Huet,romantisme
Félicien Rops,symbolisme
Félicien Rops,décadentisme
Juan Gris,cubisme
Henri de Toulouse-Lautrec,postimpressionnisme
Giovanni Boldini,Macchiaioli
Jan Verkade,École de Pont-Aven
Meyer de Haan,cloisonnisme
Meyer de Haan,École de Pont-Aven
Georges Braque,cubisme
Georges Braque,fauvisme
Gino Severini,futurisme
Gino Severini,De Stijl
Berthe Morisot,impressionnisme
Jules Scalbert,réalisme
Georges Maroniez,École de Wissant
Georges Maroniez,réalisme
Nils-Udo,land art
Paul Sérusier,symbolisme
Paul Sérusier,synthétisme
Paul Sérusier,cloisonnisme
Paul Sérusier,École de Pont-Aven
Paul Sérusier,Les Nabis
Émile Bernard,orientalisme
Émile Bernard,symbolisme
Émile Bernard,pointillisme
Émile Bernard,École de Pont-Aven
Émile Bernard,synthétisme
Émile Bernard,cloisonnisme
Émile Bernard,Les Nabis
Romaine Brooks,symbolisme
Léon Riesener,romantisme
Félix Ziem,École de Barbizon
Gérard Fromanger,hyperréalisme
Amedeo Modigliani,art moderne
Joseph Sima,symbolisme
Pierre Soulages,art abstrait
Pierre Soulages,École de Paris
Pierre Soulages,art informel
Arman,Nouveau réalisme
Francis Gruber,expressionnisme
Filippo De Pisis,peinture métaphysique
Amédée Ozenfant,cubisme
Amédée Ozenfant,purisme
Marcel Mouly,fauvisme
Léon Tutundjian,surréalisme
Léon Tutundjian,art abstrait
Michel Ciry,musique classique
Luciano Fabro,Arte Povera
Henri Martin,impressionnisme
Henri Martin,symbolisme
Henri Martin,pointillisme
Raphaël Collin,impressionnisme
Raphaël Collin,naturalisme
Raphaël Collin,symbolisme
Raphaël Collin,académisme
Raphaël Collin,Nu académique
Raphaël Collin,peinture sur le motif
Hilaire Pader,baroque
Federico Barocci,Renaissance
Cecilia Beaux,réalisme américain
Henry Mosler,École de Pont-Aven
Jean Fouquet,Renaissance
Constance Mayer,néo-classicisme
Lucas Franchoys,baroque
Gonzales Coques,peinture baroque flamande
Judith Leyster,caravagisme
Willem Drost,baroque
Léon Cogniet,romantisme
Henry Scheffer,romantisme
Jean-Jacques Henner,symbolisme
Philippe de Champaigne,classicisme
Philippe de Champaigne,peinture baroque
Roelant Savery,âge d'or de la peinture néerlandaise
Johannes Vermeer,peinture baroque
Johannes Vermeer,âge d'or de la peinture néerlandaise
Jean-Baptiste Greuze,rococo
Félicien Rops,symbolisme
Félicien Rops,décadentisme
Frans Snyders,peinture baroque flamande
Auguste Pichon,néo-classicisme
Hyacinthe Rigaud,baroque
Hyacinthe Rigaud,peinture baroque
Bartolomeo Caporali,École ombrienne
Ottaviano Nelli,École ombrienne
Bernardino Fungai,école siennoise
Thomas Couture,académisme
Georges Rouget,néo-classicisme
Alexandre Roslin,rococo
Achille Laugé,pointillisme
Claude Bonnefond,Art nouveau
Jean-Baptiste Greuze,rococo
Honoré Boze,peinture orientaliste
Antonio de Pereda,baroque
Nicolas Poussin,classicisme
Charles Le Brun,baroque
Charles Le Brun,classicisme
Adélaïde Labille-Guiard,rococo
Ary Scheffer,romantisme
Q325925,Nouvelle Objectivité
Q325925,surréalisme
Jan Hackaert,baroque
Armand Point,symbolisme
Armand Point,École de Murol
Constantin Korovine,impressionnisme
Henry Moore,surréalisme
Henry Moore,primitivisme
Henry Moore,modernisme catalan
Henry Moore,art contemporain
Jean Delville,symbolisme
Lucien Pissarro,impressionnisme
Max Liebermann,impressionnisme
Lovis Corinth,impressionnisme
Lovis Corinth,expressionnisme
Lucie Cousturier,néo-impressionnisme
Ulysse Butin,naturalisme
Juan de Arellano,baroque
Eugène de Kermadec,expressionnisme abstrait
Yves Millecamps,art abstrait
Sandro Botticelli,École florentine
Sandro Botticelli,Première Renaissance
Guido Reni,baroque
Jacques-Edmond Leman,École française de peinture
Giovanni Lanfranco,baroque
Fernand Lematte,orientalisme
Jacob Jordaens,peinture baroque flamande
Jacob Jordaens,baroque
Pierre Mignard,classicisme
Pierre Mignard,peinture baroque
Francesco Solimena,baroque
Andrea del Sarto,Haute Renaissance
Allan Ramsay,classicisme
Philippe de Champaigne,classicisme
Philippe de Champaigne,peinture baroque
Salvator Rosa,baroque
François-André Vincent,néo-classicisme
Jean-Honoré Fragonard,rococo
Jean Dufy,fauvisme
Jean-Jacques Henner,symbolisme
Giovanni Baglione,baroque
Giovanni Baglione,maniérisme
Jean-Jacques Henner,symbolisme
Federico Barocci,Renaissance
Carlo Dolci,baroque
Jean-Jacques Henner,symbolisme
Benedetto Luti,peinture baroque
Oskar Kokoschka,expressionnisme
Jean-Jacques Henner,symbolisme
Lavinia Fontana,maniérisme
Claude Gellée,classicisme
Rutilio Manetti,école siennoise
Benjamin West,romantisme
Benjamin West,néo-classicisme
Luca Signorelli,école siennoise
Antonio Tempesta,Renaissance
Alessandro Turchi,École véronaise
Juan Gris,cubisme
Mady de La Giraudière,art naïf
Francis Gruber,expressionnisme
Bessie Davidson,impressionnisme
Horace Vernet,romantisme
Marcel Duchamp,Dada
Marcel Duchamp,surréalisme
Marcel Duchamp,art conceptuel
Richard Long,art conceptuel
Mathilde Arbey,orientalisme
Eugène Burnand,naturalisme
Paul Biva,réalisme
Jérôme Bosch,Renaissance nordique
Jérôme Bosch,Primitifs flamands
Eugène Ciceri,École de Barbizon
André Brouillet,académisme
Jules Migonney,peinture orientaliste
Ernest Hébert,symbolisme
Clément Serveau,cubisme
Ernest Hébert,symbolisme
Jean-Baptiste Geoffroy,musique baroque
Jean-Baptiste Geoffroy,musique classique
Abel Bertram,fauvisme
Clémentine Ballot,École de Crozant
Jan Mandyn,Renaissance
Giuseppe Bonito,baroque
Paul Mascart,impressionnisme
Paul Mascart,École de Rouen
Bernard Lorjou,expressionnisme
Aline Guérin-Billet,naturalisme
Aline Guérin-Billet,réalisme
Hans von Aachen,Renaissance allemande
Maurice Chabas,symbolisme
Lucien Mengaud,Félibrige
Pieter Boel,baroque
Pieter Boel,peinture baroque flamande
Jean-Jacques Rousseau,musique baroque
Jean-Jacques Rousseau,philosophie des Lumières
Alessandro Magnasco,baroque
Paul Chaigneau,École de Barbizon
Armand Bernard,académisme
Hans Memling,Primitifs flamands
Sofonisba Anguissola,Renaissance
Sofonisba Anguissola,maniérisme
Denis Calvaert,baroque
Paul Cézanne,postimpressionnisme
Lambert Sustris,maniérisme
François Duquesnoy,baroque
Claude Vignon,baroque
Auguste Rodin,art moderne
Auguste Rodin,symbolisme
Auguste Rodin,art moderne
Auguste Rodin,symbolisme
Auguste Rodin,art moderne
Auguste Rodin,symbolisme
Auguste Rodin,art moderne
Auguste Rodin,symbolisme
Claude Vignon,baroque
Auguste Rodin,art moderne
Auguste Rodin,symbolisme
Auguste Rodin,art moderne
Auguste Rodin,symbolisme
Jean-Léon Gérôme,orientalisme
Jean-Léon Gérôme,néo-grec
Jean-Léon Gérôme,mouvement néo-pompéien
Jean-Léon Gérôme,académisme
Augustin Lesieux,École de Wissant
Constantin Meunier,réalisme
Paul Gauguin,impressionnisme
Paul Gauguin,symbolisme
Paul Gauguin,postimpressionnisme
Paul Gauguin,École de Pont-Aven
Paul Gauguin,cloisonnisme
Paul Gauguin,synthétisme
Paul Gauguin,primitivisme
Anna Quinquaud,Africanisme
Henri Matisse,impressionnisme
Henri Matisse,fauvisme
Henri Matisse,postimpressionnisme
Henri Matisse,néo-impressionnisme
Henri Matisse,divisionnisme
Henri Matisse,impressionnisme
Henri Matisse,fauvisme
Henri Matisse,postimpressionnisme
Henri Matisse,néo-impressionnisme
Henri Matisse,divisionnisme
Constantin Meunier,réalisme
Francis Pellerin,abstraction géométrique
François Girardon,baroque
François Girardon,classicisme
Guido Reni,baroque
Guido Reni,baroque
Elisabetta Sirani,baroque
Pietro Lorenzetti,école siennoise
Gustave Moreau,symbolisme
Gustave Moreau,symbolisme
Jean-Baptiste Carpeaux,romantisme
Jean-Baptiste Carpeaux,romantisme
Daniel van Heil,baroque
Gustave Boulanger,orientalisme
Robert Le Lorrain,baroque
Jacques Sarrazin,baroque
Jules Bastien-Lepage,pomme de terre
Ania Staritsky,abstraction lyrique
Léon Riesener,romantisme
Marcel Rieder,académisme
Elisabetta Marchioni,École vénitienne
Jean-Auguste-Dominique Ingres,romantisme
Jean-Auguste-Dominique Ingres,néo-classicisme
Hippolyte Flandrin,néo-classicisme
Jacques Hérold,surréalisme
Jacques Hérold,tachisme
Roland Bierge,École de Paris
Guidoccio Cozzarelli,école siennoise
Carlo Cignani,baroque
Carlos Cruz-Diez,op art
Carlos Cruz-Diez,art abstrait
Carlos Cruz-Diez,art cinétique
Jean Legros,abstraction géométrique
Jean Legros,minimalisme
Simon Vouet,peinture baroque
Hyacinthe Rigaud,baroque
Hyacinthe Rigaud,peinture baroque
Rembrandt,âge d'or de la peinture néerlandaise
Jean-Baptiste Greuze,rococo
Q157321,Dada
Q157321,surréalisme
Q157321,cubisme
Jean-Louis Bézard,néo-classicisme
Raimundo de Madrazo y Garreta,réalisme
Georges Lacombe,symbolisme
Georges Lacombe,Les Nabis
Albert Lebourg,postimpressionnisme
Albert Lebourg,École de Rouen
Albert Lebourg,impressionnisme
Nicolas Bertin,rococo
Maxime Maufra,École de Pont-Aven
Osias Beert,peinture baroque flamande
Pieter Boel,baroque
Pieter Boel,peinture baroque flamande
Edmond Aman-Jean,symbolisme
Adriaen Brouwer,baroque
Camille Corot,réalisme
Camille Corot,École de Barbizon
Luciano Fabro,Arte Povera
Eugène Delacroix,romantisme
Pierre Fichet,abstraction lyrique
Vassily Kandinsky,Bauhaus
Vassily Kandinsky,expressionnisme
Vassily Kandinsky,symbolisme
Pino Pascali,Arte Povera
Bernard Vercruyce,art naïf
Jules Migonney,peinture orientaliste
Philippe de Champaigne,classicisme
Philippe de Champaigne,peinture baroque
Frans Snyders,peinture baroque flamande
Jean Pillement,rococo
Alessandro Varotari,maniérisme
Hubert Robert,préromantisme
Hyacinthe Rigaud,baroque
Hyacinthe Rigaud,peinture baroque
Andrea Briosco,Renaissance
Edgar Mélik,surréalisme
Q469063,expressionnisme
Atsuko Tanaka,art abstrait
Amédée Ozenfant,cubisme
Amédée Ozenfant,purisme
Andrea Vaccaro,baroque
Francesco Solimena,baroque
Simon Vouet,peinture baroque
François Dumont,baroque
Jacques Sarrazin,baroque
Q164775,néo-expressionnisme
Alighiero Boetti,Arte Povera
Théodore Deck,Art nouveau
Georg Herold,art contemporain
Asger Jorn,CoBrA
Asger Jorn,Internationale situationniste
Marcel Janco,expressionnisme
Peter Klasen,figuration narrative
Michel Larionov,néo-impressionnisme
Michel Larionov,Rayonnisme
Paolo Anesi,baroque
Antonio Verrio,peinture baroque
Natalia Dumitresco,expressionnisme abstrait
Paul Jenkins,expressionnisme abstrait
Jean Villeri,École de Paris
Jean Bardin,Félibrige
Claude Vignon,baroque
Willem de Poorter,baroque
Hilaire Pader,baroque
Camille Corot,réalisme
Camille Corot,École de Barbizon
Simon Vouet,peinture baroque
Antoine Watteau,rococo
Jan Wildens,baroque
John Smith,christianisme
John Smith,philosophie
Francesco Solimena,baroque
Valentine Prax,expressionnisme
Simon Vouet,peinture baroque
Charles Le Brun,baroque
Charles Le Brun,classicisme
Jean-Baptiste Greuze,rococo
Marie-Gabrielle Capet,classicisme
Pierre Molinier,surréalisme
