artiste,influenceur
Raoul Larche,Auguste Rodin
Antoine Vollon,Jean Siméon Chardin
Q123740,Charles Maurin
Claude Vignon,Le Caravage
Claude Vignon,Rembrandt
Jules Breton,François Bonvin
Gustave Guillaumet,Félix-Joseph Barrias
Gustave Guillaumet,Abel de Pujol
Gustave Guillaumet,François-Édouard Picot
Maurice Utrillo,Suzanne Valadon
Maurice Utrillo,Gustave Courbet
Maurice Utrillo,Camille Pissarro
Nicolas de Largillierre,Peter Lely
Nicolas Coustou,Michel-Ange Buronarroti
Jacques Guiaud,Jules Dupré
Jacques Stella,Nicolas Poussin
Henri Rousseau,Jean-Léon Gérôme
Henri Rousseau,Léon Bonnat
Ben,Jacques Villeglé
Othon Friesz,Georges Braque
Othon Friesz,Vincent van Gogh
Othon Friesz,Paul Cézanne
Othon Friesz,Paul Gauguin
Charles-François Daubigny,Gustave Courbet
Maxime Maufra,Alfred Sisley
Maxime Maufra,Camille Pissarro
Antony Troncet,Léon Bonnat
Antony Troncet,Jean-Jacques Henner
Georges de La Tour,Jacques Bellange
Georges de La Tour,Le Caravage
Othon Friesz,Georges Braque
Othon Friesz,Vincent van Gogh
Othon Friesz,Paul Cézanne
Othon Friesz,Paul Gauguin
Georges Breuil,Georges Braque
Nicolas Lancret,Antoine Watteau
Paul Gauguin,Camille Pissarro
Paul Gauguin,Edgar Degas
Paul Gauguin,Paul Cézanne
Paul Gauguin,Hokusai
Paul Gauguin,Eugène Delacroix
Paul Gauguin,Claude Monet
Boris Taslitzky,Gustave Courbet
Antoine-Jean Gros,Pierre Paul Rubens
Maurice Utrillo,Suzanne Valadon
Maurice Utrillo,Gustave Courbet
Maurice Utrillo,Camille Pissarro
Constant Troyon,Paulus Potter
Jules Chéret,Jean-Honoré Fragonard
Valerio Adami,Roy Lichtenstein
Antoine Vollon,Jean Siméon Chardin
Hyacinthe Rigaud,Antoine van Dyck
Paul Rebeyrolle,Gustave Courbet
Émile Schuffenecker,Paul Gauguin
Francesco Guardi,Michele Marieschi
Camille Hilaire,Albrecht Dürer
Hyacinthe Rigaud,Antoine van Dyck
Jean-Baptiste Santerre,Antoine van Dyck
Jean-Baptiste Santerre,Le Corrège
Jean-Baptiste Santerre,Pierre Paul Rubens
Jean-Baptiste Santerre,Rembrandt
Auguste Rodin,Jean-Baptiste Carpeaux
Auguste Rodin,Michel-Ange Buronarroti
Auguste Rodin,Jean-Baptiste Carpeaux
Auguste Rodin,Michel-Ange Buronarroti
Constant Troyon,Paulus Potter
Arman,Kurt Schwitters
Théodule Ribot,Auguste Comte
Q2871289,Léon Bonnat
Amand Gautier,Léon Cogniet
Louis Gallait,José de Ribera
Louis Gallait,Bartolomé Esteban Murillo
Louis Gallait,Pierre Paul Rubens
Alfred Stevens,Johannes Vermeer
Frans Post,Pieter Post
Giambattista Tiepolo,Gregorio Lazzarini
Giambattista Tiepolo,Giovanni Battista Piazzetta
Maurice Utrillo,Suzanne Valadon
Maurice Utrillo,Gustave Courbet
Maurice Utrillo,Camille Pissarro
Auguste Rodin,Jean-Baptiste Carpeaux
Auguste Rodin,Michel-Ange Buronarroti
François Pompon,Auguste Rodin
Jane Poupelet,Gaston Schnegg
Jane Poupelet,Auguste Rodin
Charles Agard,Pierre Puvis de Chavannes
Charles Agard,Camille Pissarro
Léon Detroy,Henri Matisse
Léon Detroy,Claude Monet
Gustave Loiseau,Georges Seurat
Gustave Loiseau,Camille Pissarro
Gustave Loiseau,Paul Gauguin
Giovanni Boldini,Titien
Giovanni Boldini,Domenico Tintoretto
Roderic O'Conor,impressionnisme
Gustave Loiseau,Georges Seurat
Gustave Loiseau,Camille Pissarro
Gustave Loiseau,Paul Gauguin
Virginie Demont-Breton,Jules Breton
Mattia Preti,Le Caravage
Antonio Canova,Phidias
Auguste Rodin,Jean-Baptiste Carpeaux
Auguste Rodin,Michel-Ange Buronarroti
Auguste Rodin,Jean-Baptiste Carpeaux
Auguste Rodin,Michel-Ange Buronarroti
Auguste Rodin,Jean-Baptiste Carpeaux
Auguste Rodin,Michel-Ange Buronarroti
Paul Paulin,Edgar Degas
Paul Paulin,Auguste Renoir
Jean Dubuffet,Expressions de la folie
Francisco de Goya,Jérôme Bosch
Nicolas de Largillierre,Peter Lely
Jules Coignet,Jean-Victor Bertin
Hyacinthe Rigaud,Antoine van Dyck
Gustave Courbet,Francisco de Zurbarán
Gustave Courbet,Le Caravage
Gustave Courbet,Pierre Paul Rubens
Gustave Courbet,Rembrandt
Gustave Courbet,Diego Vélasquez
Gustave Courbet,Hokusai
Valentin de Boulogne,Bartolomeo Manfredi
Valentin de Boulogne,Le Caravage
Alfred Casile,Alfred Sisley
Alfred Casile,Camille Pissarro
Alfred Casile,Claude Monet
Camille Pissarro,Fritz Melbye
Lodovico Carracci,Annibale Carracci
Claude Vignon,Le Caravage
Claude Vignon,Rembrandt
Jacques Guiaud,Jules Dupré
Marie-Élisabeth Blavot,Eugène Delacroix
Marie-Élisabeth Blavot,Jean-Auguste-Dominique Ingres
Auguste Rodin,Jean-Baptiste Carpeaux
Auguste Rodin,Michel-Ange Buronarroti
Auguste Moreau,Hippolyte Moreau
Auguste Moreau,Mathurin Moreau
Auguste Rodin,Jean-Baptiste Carpeaux
Auguste Rodin,Michel-Ange Buronarroti
Gustave Loiseau,Georges Seurat
Gustave Loiseau,Camille Pissarro
Gustave Loiseau,Paul Gauguin
Jean Dubuffet,Expressions de la folie
Théodule Ribot,Auguste Comte
Moïse Kisling,Marc Chagall
Antoine Watteau,Claude Gillot
Antoine Watteau,Pierre Paul Rubens
Gustave Loiseau,Georges Seurat
Gustave Loiseau,Camille Pissarro
Gustave Loiseau,Paul Gauguin
Pierre Prins,Diego Vélasquez
Berthe Morisot,Édouard Manet
Berthe Morisot,Stéphane Mallarmé
Albert Maignan,Évariste-Vital Luminais
Jean Cocteau,Maurice Maeterlinck
Jean Cocteau,Jules Verne
Jean Cocteau,Marcel Proust
Henri-Edmond Cross,Pierre Puvis de Chavannes
Henri-Edmond Cross,Camille Pissarro
Henri-Edmond Cross,Gustave Courbet
Henri-Edmond Cross,Claude Monet
Raphaël Collin,Jules Bastien-Lepage
Raphaël Collin,Pierre Puvis de Chavannes
Raphaël Collin,Pascal Dagnan-Bouveret
Raphaël Collin,Camille Corot
Jean Hey,Hugo van der Goes
Jacques de Lajoüe,François Boucher
Pieter de Hooch,Gerard ter Borch
Pieter de Hooch,Johannes Vermeer
Pieter de Hooch,Jan Steen
Pieter de Hooch,Carel Fabritius
Jean-Baptiste Debret,Jacques-Louis David
Paulus Potter,Pieter van Laer
Louis Monziès,Ernest Meissonier
Albert Maignan,Évariste-Vital Luminais
Jacques Guiaud,Jules Dupré
Alphonse Mucha,Dante Gabriel Rossetti
Alphonse Mucha,Hans Makart
Alphonse Mucha,William Morris
Jacques Stella,Nicolas Poussin
Francesco Guardi,Michele Marieschi
Andrea Mantegna,Donatello
Jean-François Thomas,Georges Bernanos
Jean-François Thomas,Simone Weil
Jean-François Thomas,Leonardo Castellani
Jean-François Thomas,Gustave Thibon
Jean-François Thomas,Léon Bloy
Jean-François Thomas,Henri de Lubac
Jean-François Thomas,Edith Stein
Auguste Rodin,Jean-Baptiste Carpeaux
Auguste Rodin,Michel-Ange Buronarroti
Albert Pommier,Bernard Palissy
Gustave Moreau,Théodore Chassériau
Gustave Moreau,Eugène Delacroix
Théodore Rousseau,Richard Parkes Bonington
Théodore Rousseau,John Constable
Théodore Rousseau,Caspar David Friedrich
Paul-Émile Mangeant,Pierre Puvis de Chavannes
Lodovico Carracci,Annibale Carracci
Pierre Ambrogiani,René Seyssaud
Albert Marquet,Henri Matisse
Albert Lebourg,Jean Seignemartin
Alfred Casile,Alfred Sisley
Alfred Casile,Camille Pissarro
Alfred Casile,Claude Monet
Antonio Seguí,Fernand Léger
Abel Bertram,Antoine Guillemet
Gabriel Robin,fauvisme
Gabriel Robin,André Derain
Gabriel Robin,Alfred Sisley
Gabriel Robin,Roger de La Fresnaye
Gabriel Robin,cubisme
Gabriel Robin,Juan Gris
Gabriel Robin,impressionnisme
Stanislas Torrents,Diego Vélasquez
Nicolas Colombel,Charles Le Brun
Nicolas Colombel,Nicolas Poussin
Nicolas Colombel,Pierre Mignard
Nicolas Colombel,Francesco Albani
Théodule Ribot,Auguste Comte
Adam Pynacker,Pieter van Laer
Jacques-François Delyen,Nicolas de Largillierre
Charles Gleyre,Paul Delaroche
Charles Gleyre,Horace Vernet
Charles Gleyre,Jean-Auguste-Dominique Ingres
Moïse Kisling,Marc Chagall
Alessandro Tiarini,Lodovico Carracci
Pierre Alechinsky,système d'écriture du japonais
Pierre Alechinsky,Jean Dubuffet
Albert Gleizes,Henri Le Fauconnier
Albert Gleizes,Georges Braque
Albert Gleizes,postimpressionnisme
Albert Gleizes,Piet Mondrian
Albert Gleizes,Vassily Kandinsky
Albert Gleizes,Pablo Picasso
Alexandre Rapin,Gustave Courbet
Filippino Lippi,Sandro Botticelli
Filippino Lippi,Fra Filippo Lippi
Domenico Fetti,Le Caravage
Odilon Redon,Eugène Delacroix
Odilon Redon,Henri Fantin-Latour
Odilon Redon,Francisco de Goya
Louis Garin,Mathurin Méheut
Auguste Rodin,Jean-Baptiste Carpeaux
Auguste Rodin,Michel-Ange Buronarroti
Paul Paulin,Edgar Degas
Paul Paulin,Auguste Renoir
Aristide Maillol,Pierre Puvis de Chavannes
Aristide Maillol,Paul Gauguin
Gustave Moreau,Théodore Chassériau
Gustave Moreau,Eugène Delacroix
Antonio Canova,Phidias
Thomas Couture,Titien
Thomas Couture,Pierre Paul Rubens
Albert Marquet,Henri Matisse
Charles Milcendeau,art mozarabe
Charles Milcendeau,scène de genre
Charles Milcendeau,naturalisme
Jean-Baptiste Santerre,Antoine van Dyck
Jean-Baptiste Santerre,Le Corrège
Jean-Baptiste Santerre,Pierre Paul Rubens
Jean-Baptiste Santerre,Rembrandt
Nicolas Poussin,Quentin Varin
Nicolas Poussin,Le Dominiquin
Philippe Budelot,Jean-Louis de Marne
Philippe Budelot,Jacob van Ruisdael
Auguste Rodin,Jean-Baptiste Carpeaux
Auguste Rodin,Michel-Ange Buronarroti
Jacques Stella,Nicolas Poussin
Lucio Fontana,Spatialisme
Lucio Fontana,Bruno Munari
Lucio Fontana,Movimento Arte Concreta
Max Schoendorff,Max Ernst
Helmut Kolle,Pablo Picasso
Francis Jourdain,Eugène Viollet-le-Duc
Francis Jourdain,William Morris
Gustave Guillaumet,Félix-Joseph Barrias
Gustave Guillaumet,Abel de Pujol
